Order_ID,Product,Plant,Shift,Order_Date,Planned_Quantity,Unit_Cost,Customer,Status,Completion_Date,Actual_Quantity,Total_Cost
O100025,Widget A,Plant B,Night,2023-03-05,860,37.09,Customer1,Delayed,2023-03-08,850,31526.500000000004
O100026,Gadget X,Plant C,Morning,2023-02-13,925,49.86,Customer5,Completed,2023-02-22,875,43627.5
O100027,Widget B,Plant B,Evening,2023-09-27,878,8.45,Customer4,In Progress,2023-10-01,891,7528.95
O100028,Device P,Plant B,Morning,2023-04-01,661,38.77,Customer4,Completed,2023-04-07,732,28379.640000000003
O100029,Gadget Y,Plant C,Evening,2023-08-27,721,37.97,Customer1,In Progress,2023-08-30,771,29274.87
O100030,Gadget X,Plant C,Evening,2023-10-27,968,9.9,Customer5,Delayed,2023-11-01,897,8880.300000000001
O100031,Widget A,Plant A,Morning,2023-11-13,299,48.47,Customer4,Delayed,2023-11-18,278,13474.66
O100032,Widget A,Plant C,Morning,2023-09-15,877,43.04,Customer2,Delayed,2023-09-23,868,37358.72
O100033,Widget C,Plant C,Evening,2023-08-31,969,28.03,Customer4,In Progress,2023-09-05,1057,29627.710000000003
O100034,Widget C,Plant C,Night,2023-03-20,562,14.92,Customer3,Delayed,2023-03-24,463,6907.96
O100035,Device Q,Plant B,Night,2023-11-26,619,13.39,Customer2,Completed,2023-12-02,596,7980.4400000000005
O100036,Widget B,Plant A,Night,2023-08-26,547,10.74,Customer2,Completed,2023-08-29,552,5928.4800000000005
O100037,Gadget X,Plant C,Night,2023-09-22,769,13.71,Customer1,In Progress,2023-09-24,860,11790.6
O100038,Gadget X,Plant C,Night,2023-07-08,263,46.61,Customer1,Delayed,2023-07-09,285,13283.85
O100039,Device Q,Plant C,Morning,2023-07-14,129,33.57,Customer2,In Progress,2023-07-20,140,4699.8
O100040,Device P,Plant B,Evening,2023-06-15,194,10.61,Customer3,Delayed,2023-06-21,150,1591.5
O100041,Device P,Plant B,Night,2023-07-17,460,46.47,Customer5,Completed,2023-07-18,514,23885.579999999998
O100042,Device Q,Plant A,Evening,2023-03-09,502,7.42,Customer2,Completed,2023-03-16,541,4014.22
O100043,Device P,Plant A,Morning,2023-07-14,660,23.41,Customer1,In Progress,2023-07-19,702,16433.82
O100044,Widget C,Plant B,Evening,2023-08-25,325,38.42,Customer5,Delayed,2023-08-28,337,12947.54
O100045,Gadget X,Plant C,Morning,2023-06-07,688,41.99,Customer2,Completed,2023-06-14,717,30106.83
O100046,Device Q,Plant C,Evening,2023-08-16,212,42.94,Customer5,Completed,2023-08-20,220,9446.8
O100047,Gadget X,Plant A,Evening,2023-03-03,349,47.53,Customer4,In Progress,2023-03-04,362,17205.86
O100048,Widget A,Plant C,Morning,2023-05-15,544,17.05,Customer1,Completed,2023-05-20,528,9002.4
O100049,Widget C,Plant B,Evening,2023-06-09,561,22.21,Customer3,Delayed,2023-06-12,620,13770.2
O100050,Gadget Y,Plant A,Morning,2023-04-17,641,33.53,Customer4,In Progress,2023-04-26,644,21593.32
O100051,Widget C,Plant B,Evening,2023-11-26,170,44.45,Customer5,Delayed,2023-11-30,161,7156.450000000001
O100052,Device Q,Plant B,Evening,2023-08-31,349,32.04,Customer4,Delayed,2023-09-05,351,11246.039999999999
O100053,Gadget Y,Plant C,Night,2023-08-31,293,17.24,Customer2,In Progress,2023-09-01,278,4792.719999999999
O100054,Widget A,Plant B,Evening,2023-04-11,390,41.09,Customer2,Delayed,2023-04-13,402,16518.18
O100055,Device Q,Plant B,Night,2023-08-13,580,45.59,Customer2,Completed,2023-08-20,605,27581.95
O100056,Widget B,Plant C,Night,2023-10-09,534,5.38,Customer4,Delayed,2023-10-14,495,2663.1
O100057,Gadget X,Plant B,Morning,2023-02-12,657,5.23,Customer1,In Progress,2023-02-16,690,3608.7000000000003
O100058,Widget A,Plant C,Morning,2023-12-31,289,47.93,Customer3,Completed,2024-01-08,226,10832.18
O100059,Gadget X,Plant B,Evening,2023-11-14,863,30.04,Customer5,Delayed,2023-11-16,938,28177.52
O100060,Device P,Plant C,Morning,2023-01-23,545,8.97,Customer1,Delayed,2023-01-25,576,5166.72
O100061,Widget B,Plant C,Night,2023-03-05,131,21.04,Customer5,In Progress,2023-03-06,125,2630.0
O100062,Widget B,Plant A,Evening,2023-11-24,500,30.53,Customer4,In Progress,2023-12-01,446,13616.380000000001
O100063,Widget A,Plant B,Morning,2023-07-02,598,33.14,Customer1,Completed,2023-07-09,587,19453.18
O100064,Widget B,Plant B,Morning,2023-05-24,767,12.34,Customer3,In Progress,2023-06-02,723,8921.82
O100065,Gadget Y,Plant A,Morning,2023-04-30,696,42.8,Customer2,In Progress,2023-05-04,727,31115.6
O100066,Widget B,Plant C,Night,2023-09-22,867,29.52,Customer3,Completed,2023-09-30,1054,31114.079999999998
O100067,Gadget X,Plant C,Morning,2023-09-17,918,28.63,Customer3,Delayed,2023-09-19,958,27427.539999999997
O100068,Gadget X,Plant A,Evening,2023-02-08,118,29.34,Customer3,In Progress,2023-02-15,118,3462.12
O100069,Device Q,Plant A,Evening,2023-10-27,452,7.8,Customer2,In Progress,2023-11-02,502,3915.6
O100070,Gadget X,Plant C,Evening,2023-10-24,284,38.85,Customer3,Delayed,2023-11-02,287,11149.95
O100071,Device Q,Plant C,Night,2023-09-26,611,8.63,Customer4,In Progress,2023-09-28,590,5091.700000000001
O100072,Gadget X,Plant A,Morning,2023-03-17,942,25.85,Customer3,Delayed,2023-03-23,828,21403.800000000003
O100073,Gadget Y,Plant B,Evening,2023-10-07,324,31.51,Customer3,Delayed,2023-10-13,286,9011.86
O100074,Device Q,Plant C,Morning,2023-02-17,746,14.52,Customer4,Delayed,2023-02-25,723,10497.96
O100075,Widget C,Plant A,Morning,2023-07-24,491,26.7,Customer1,In Progress,2023-07-31,436,11641.199999999999
O100076,Device P,Plant B,Evening,2023-04-09,769,17.89,Customer4,In Progress,2023-04-13,815,14580.35
O100077,Widget A,Plant B,Night,2023-10-15,362,36.93,Customer5,In Progress,2023-10-21,365,13479.45
O100078,Gadget X,Plant B,Evening,2023-10-04,850,29.01,Customer2,Delayed,2023-10-10,792,22975.920000000002
O100079,Widget B,Plant B,Evening,2023-06-08,669,9.17,Customer4,Completed,2023-06-12,755,6923.35
O100080,Gadget X,Plant A,Night,2023-11-16,851,31.99,Customer2,Delayed,2023-11-25,881,28183.19
O100081,Widget B,Plant C,Morning,2023-06-12,697,11.13,Customer4,Delayed,2023-06-13,747,8314.11
O100082,Device P,Plant B,Morning,2023-05-24,126,5.12,Customer3,Completed,2023-06-01,132,675.84
O100083,Device P,Plant B,Night,2023-06-17,651,11.58,Customer3,In Progress,2023-06-21,616,7133.28
O100084,Device P,Plant A,Evening,2023-03-31,333,5.19,Customer5,Completed,2023-04-02,328,1702.3200000000002
O100085,Widget B,Plant B,Night,2023-02-07,455,49.46,Customer1,Delayed,2023-02-16,537,26560.02
O100086,Gadget X,Plant A,Evening,2023-09-16,208,33.52,Customer4,In Progress,2023-09-20,175,5866.000000000001
O100087,Device P,Plant A,Night,2023-06-14,519,33.15,Customer5,Delayed,2023-06-19,560,18564.0
O100088,Gadget Y,Plant C,Morning,2023-04-10,118,46.99,Customer4,Completed,2023-04-19,108,5074.92
O100089,Device Q,Plant B,Night,2023-09-15,224,10.74,Customer2,Completed,2023-09-20,228,2448.7200000000003
O100090,Widget B,Plant C,Night,2023-09-16,190,6.24,Customer5,In Progress,2023-09-17,202,1260.48
O100091,Widget B,Plant A,Evening,2023-04-14,539,35.72,Customer1,Delayed,2023-04-20,534,19074.48
O100092,Gadget X,Plant B,Evening,2023-06-24,681,32.8,Customer4,Delayed,2023-06-27,712,23353.6
O100093,Widget B,Plant A,Evening,2023-04-16,435,45.71,Customer2,In Progress,2023-04-21,332,15175.720000000001
O100094,Widget B,Plant A,Night,2023-04-21,635,19.54,Customer2,Delayed,2023-04-27,638,12466.519999999999
O100095,Device P,Plant A,Night,2023-12-12,865,29.86,Customer5,Delayed,2023-12-17,921,27501.059999999998
O100096,Gadget X,Plant B,Evening,2023-01-27,251,30.41,Customer3,Delayed,2023-01-28,221,6720.61
O100097,Device P,Plant A,Morning,2023-02-07,257,16.55,Customer5,Delayed,2023-02-14,246,4071.3
O100098,Device Q,Plant A,Evening,2023-06-21,778,21.2,Customer5,Delayed,2023-06-25,825,17490.0
O100099,Device Q,Plant B,Night,2023-01-08,784,20.68,Customer2,In Progress,2023-01-14,792,16378.56
O100100,Device P,Plant C,Night,2023-01-23,710,43.0,Customer1,Completed,2023-01-24,792,34056.0
O100101,Device Q,Plant A,Evening,2023-05-14,856,21.9,Customer5,In Progress,2023-05-22,790,17301.0
O100102,Gadget X,Plant C,Evening,2023-02-28,341,33.04,Customer3,In Progress,2023-03-09,349,11530.96
O100103,Widget A,Plant C,Night,2023-02-27,276,21.82,Customer2,Completed,2023-03-07,267,5825.9400000000005
O100104,Device P,Plant C,Night,2023-09-13,262,8.82,Customer3,Delayed,2023-09-22,287,2531.34
O100105,Gadget Y,Plant C,Morning,2023-10-09,247,46.66,Customer2,Delayed,2023-10-12,236,11011.759999999998
O100106,Gadget Y,Plant C,Evening,2023-12-01,391,8.54,Customer2,In Progress,2023-12-10,383,3270.8199999999997
O100107,Widget B,Plant C,Evening,2023-06-24,469,5.45,Customer5,In Progress,2023-06-26,494,2692.3
O100108,Device Q,Plant B,Morning,2023-04-06,758,17.2,Customer2,Delayed,2023-04-09,660,11352.0
O100109,Gadget Y,Plant B,Night,2023-05-27,779,17.49,Customer1,Completed,2023-05-29,870,15216.3
O100110,Widget B,Plant C,Night,2023-04-27,208,18.06,Customer3,In Progress,2023-04-29,170,3070.2
O100111,Widget A,Plant B,Morning,2023-08-28,444,41.07,Customer4,Completed,2023-08-29,397,16304.79
O100112,Gadget X,Plant B,Evening,2023-12-21,469,17.91,Customer2,Completed,2023-12-24,456,8166.96
O100113,Gadget X,Plant C,Night,2023-06-03,121,33.4,Customer5,In Progress,2023-06-07,96,3206.3999999999996
O100114,Gadget X,Plant C,Morning,2023-11-04,292,5.34,Customer4,Completed,2023-11-12,259,1383.06
O100115,Gadget Y,Plant A,Morning,2023-11-29,866,45.16,Customer1,In Progress,2023-12-08,937,42314.92
O100116,Widget A,Plant B,Morning,2023-10-30,838,16.7,Customer3,Completed,2023-11-03,774,12925.8
O100117,Gadget Y,Plant C,Night,2023-07-19,250,29.19,Customer1,Completed,2023-07-20,225,6567.75
O100118,Device Q,Plant B,Night,2023-01-14,763,30.57,Customer5,Delayed,2023-01-19,764,23355.48
O100119,Gadget Y,Plant B,Morning,2023-06-03,394,15.8,Customer4,Delayed,2023-06-05,412,6509.6
O100120,Widget A,Plant B,Morning,2023-02-16,186,31.59,Customer1,Delayed,2023-02-19,174,5496.66
O100121,Widget A,Plant A,Night,2023-09-05,137,44.01,Customer2,Completed,2023-09-08,142,6249.42
O100122,Device Q,Plant C,Night,2023-04-04,738,19.9,Customer4,Completed,2023-04-12,808,16079.199999999999
O100123,Widget A,Plant B,Night,2023-08-20,274,47.02,Customer3,Completed,2023-08-21,253,11896.060000000001
O100124,Widget A,Plant C,Night,2023-04-16,490,15.56,Customer5,Delayed,2023-04-17,543,8449.08
O100125,Gadget X,Plant B,Night,2023-08-16,202,10.31,Customer5,Completed,2023-08-23,220,2268.2000000000003
O100126,Device Q,Plant C,Morning,2023-09-15,527,20.74,Customer3,Completed,2023-09-19,598,12402.519999999999
O100127,Widget C,Plant C,Night,2023-06-07,812,45.17,Customer5,Delayed,2023-06-14,789,35639.130000000005
O100128,Widget C,Plant C,Night,2023-10-07,320,12.26,Customer5,Completed,2023-10-13,343,4205.18
O100129,Widget A,Plant B,Morning,2023-09-02,268,23.71,Customer3,Delayed,2023-09-10,307,7278.97
O100130,Widget C,Plant A,Morning,2023-03-23,718,33.09,Customer5,Completed,2023-03-25,696,23030.640000000003
O100131,Widget C,Plant C,Evening,2023-01-23,525,41.71,Customer3,Completed,2023-01-25,611,25484.81
O100132,Widget A,Plant A,Night,2023-04-27,685,45.73,Customer5,In Progress,2023-04-29,693,31690.89
O100133,Widget C,Plant C,Evening,2023-03-11,562,49.63,Customer1,Completed,2023-03-12,555,27544.65
O100134,Gadget Y,Plant A,Evening,2023-03-16,659,43.04,Customer1,Completed,2023-03-20,573,24661.92
O100135,Widget B,Plant C,Morning,2023-05-15,477,5.43,Customer1,Delayed,2023-05-23,509,2763.87
O100136,Device Q,Plant A,Morning,2023-08-13,683,22.68,Customer4,Completed,2023-08-17,809,18348.12
O100137,Widget B,Plant C,Evening,2023-05-18,588,43.44,Customer3,Completed,2023-05-20,506,21980.64
O100138,Widget A,Plant C,Evening,2023-12-07,505,48.92,Customer1,Completed,2023-12-09,529,25878.68
O100139,Gadget X,Plant A,Evening,2023-07-20,290,7.68,Customer5,In Progress,2023-07-22,315,2419.2
O100140,Device Q,Plant C,Evening,2023-08-28,540,20.29,Customer3,Completed,2023-09-06,505,10246.449999999999
O100141,Widget A,Plant B,Night,2023-01-25,949,34.29,Customer3,In Progress,2023-01-30,938,32164.02
O100142,Gadget X,Plant C,Evening,2023-08-05,283,23.39,Customer5,Delayed,2023-08-06,296,6923.4400000000005
O100143,Widget B,Plant C,Morning,2023-10-07,517,12.05,Customer2,Delayed,2023-10-14,435,5241.75
O100144,Widget A,Plant B,Evening,2023-01-12,634,45.48,Customer3,Delayed,2023-01-16,635,28879.8
O100145,Device Q,Plant B,Evening,2023-07-18,127,18.69,Customer4,In Progress,2023-07-23,111,2074.59
O100146,Device Q,Plant B,Morning,2023-05-14,268,16.51,Customer4,Delayed,2023-05-23,295,4870.450000000001
O100147,Device P,Plant A,Evening,2023-11-11,109,30.72,Customer2,Delayed,2023-11-12,116,3563.52
O100148,Gadget Y,Plant B,Morning,2023-03-24,919,43.01,Customer1,In Progress,2023-03-25,868,37332.68
O100149,Widget C,Plant A,Night,2023-11-24,206,26.45,Customer1,Delayed,2023-11-25,209,5528.05
O100150,Gadget X,Plant B,Night,2023-02-05,411,10.05,Customer3,Delayed,2023-02-08,297,2984.8500000000004
O100151,Device P,Plant A,Morning,2023-11-13,237,25.16,Customer5,Completed,2023-11-18,251,6315.16
O100152,Widget C,Plant B,Night,2023-08-19,854,9.46,Customer3,Delayed,2023-08-22,903,8542.380000000001
O100153,Widget C,Plant B,Night,2023-04-10,548,12.82,Customer2,Delayed,2023-04-17,523,6704.860000000001
O100154,Widget A,Plant C,Night,2023-07-18,603,24.63,Customer1,Delayed,2023-07-24,708,17438.04
O100155,Widget C,Plant B,Morning,2023-07-12,128,10.15,Customer4,Completed,2023-07-16,133,1349.95
O100156,Gadget Y,Plant C,Evening,2023-06-19,529,35.15,Customer3,Delayed,2023-06-23,543,19086.45
O100157,Device Q,Plant B,Night,2023-05-22,140,29.47,Customer2,Delayed,2023-05-30,158,4656.26
O100158,Device P,Plant B,Evening,2023-09-05,808,20.45,Customer3,Completed,2023-09-08,892,18241.399999999998
O100159,Widget C,Plant C,Evening,2023-11-17,911,12.16,Customer1,In Progress,2023-11-19,880,10700.8
O100160,Widget A,Plant C,Night,2023-01-12,128,28.09,Customer5,Completed,2023-01-16,134,3764.06
O100161,Gadget Y,Plant A,Night,2023-07-30,727,40.93,Customer4,Delayed,2023-08-08,820,33562.6
O100162,Widget B,Plant C,Evening,2023-09-27,149,38.72,Customer2,Delayed,2023-10-02,163,6311.36
O100163,Device Q,Plant A,Night,2023-11-19,596,48.76,Customer1,In Progress,2023-11-25,618,30133.68
O100164,Device Q,Plant B,Morning,2023-04-25,119,27.52,Customer4,Completed,2023-05-02,115,3164.7999999999997
O100165,Device P,Plant C,Morning,2023-12-21,802,33.42,Customer1,In Progress,2023-12-25,825,27571.5
O100166,Device Q,Plant C,Night,2023-11-19,107,15.96,Customer1,In Progress,2023-11-20,101,1611.96
O100167,Widget C,Plant B,Evening,2023-09-27,828,39.74,Customer3,Completed,2023-10-05,823,32706.02
O100168,Widget A,Plant B,Night,2023-10-28,804,27.5,Customer4,Completed,2023-10-30,773,21257.5
O100169,Device Q,Plant B,Morning,2023-05-17,199,26.27,Customer5,Delayed,2023-05-18,191,5017.57
O100170,Device Q,Plant B,Evening,2023-06-06,399,18.45,Customer1,Completed,2023-06-08,392,7232.4
O100171,Widget B,Plant C,Night,2023-03-02,883,19.32,Customer5,Delayed,2023-03-06,1001,19339.32
O100172,Widget B,Plant B,Morning,2023-10-16,168,14.34,Customer5,Delayed,2023-10-25,157,2251.38
O100173,Gadget X,Plant B,Evening,2023-11-24,533,47.55,Customer1,Delayed,2023-11-28,577,27436.35
O100174,Gadget Y,Plant C,Morning,2023-06-17,214,15.71,Customer3,Delayed,2023-06-20,211,3314.8100000000004
O100175,Widget C,Plant A,Night,2023-12-24,480,6.74,Customer2,Delayed,2023-12-28,566,3814.84
O100176,Device Q,Plant C,Night,2023-01-23,752,24.02,Customer2,In Progress,2023-01-31,877,21065.54
O100177,Device Q,Plant A,Morning,2023-02-28,804,48.58,Customer1,Delayed,2023-03-01,783,38038.14
O100178,Widget A,Plant B,Morning,2023-12-22,939,6.37,Customer3,Delayed,2023-12-23,817,5204.29
O100179,Gadget X,Plant C,Morning,2023-11-08,484,16.62,Customer2,In Progress,2023-11-10,444,7379.280000000001
O100180,Gadget Y,Plant B,Morning,2023-06-20,631,16.28,Customer1,Completed,2023-06-25,762,12405.36
O100181,Gadget X,Plant C,Morning,2023-03-25,714,28.96,Customer4,Completed,2023-04-01,732,21198.72
O100182,Device P,Plant A,Evening,2023-09-05,982,39.04,Customer1,Completed,2023-09-07,1190,46457.6
O100183,Gadget Y,Plant C,Night,2023-11-10,764,23.63,Customer1,In Progress,2023-11-17,902,21314.26
O100184,Device Q,Plant B,Evening,2023-05-14,384,19.8,Customer5,Delayed,2023-05-19,446,8830.800000000001
O100185,Device Q,Plant C,Morning,2023-10-15,806,17.82,Customer5,Completed,2023-10-20,768,13685.76
O100186,Gadget Y,Plant B,Evening,2023-07-12,600,46.29,Customer3,In Progress,2023-07-16,674,31199.46
O100187,Device Q,Plant C,Night,2023-07-07,352,47.33,Customer2,Completed,2023-07-16,376,17796.079999999998
O100188,Widget C,Plant A,Morning,2023-06-01,373,31.09,Customer3,In Progress,2023-06-07,426,13244.34
O100189,Gadget Y,Plant C,Morning,2023-06-06,472,44.63,Customer5,Completed,2023-06-12,432,19280.16
O100190,Gadget X,Plant C,Night,2023-01-08,565,49.45,Customer1,Delayed,2023-01-11,569,28137.050000000003
O100191,Gadget Y,Plant C,Evening,2023-09-26,955,30.46,Customer5,Completed,2023-10-05,1045,31830.7
O100192,Device Q,Plant C,Night,2023-03-04,540,18.4,Customer1,In Progress,2023-03-06,632,11628.8
O100193,Widget C,Plant A,Night,2023-01-25,681,20.12,Customer3,In Progress,2023-01-29,569,11448.28
O100194,Widget C,Plant B,Evening,2023-06-06,191,32.56,Customer3,Delayed,2023-06-10,233,7586.4800000000005
O100195,Device P,Plant C,Evening,2023-07-06,673,22.15,Customer3,Delayed,2023-07-11,660,14618.999999999998
O100196,Gadget X,Plant C,Morning,2023-11-13,663,27.95,Customer3,Delayed,2023-11-20,569,15903.55
O100197,Widget B,Plant C,Morning,2023-03-29,689,15.34,Customer3,Delayed,2023-04-03,595,9127.3
O100198,Widget B,Plant A,Morning,2023-05-05,253,49.71,Customer1,Completed,2023-05-09,161,8003.31
O100199,Gadget Y,Plant B,Night,2023-08-31,810,13.64,Customer1,Delayed,2023-09-05,721,9834.44
O100200,Device P,Plant B,Evening,2023-01-26,861,46.13,Customer3,In Progress,2023-02-02,825,38057.25
O100201,Widget A,Plant C,Evening,2023-03-25,366,44.1,Customer3,Delayed,2023-03-31,413,18213.3
O100202,Gadget Y,Plant C,Morning,2023-07-15,632,41.47,Customer1,In Progress,2023-07-17,706,29277.82
O100203,Device P,Plant B,Night,2023-10-05,296,47.17,Customer1,Completed,2023-10-14,314,14811.380000000001
O100204,Gadget X,Plant C,Night,2023-05-15,258,41.26,Customer3,In Progress,2023-05-16,281,11594.06
O100205,Gadget X,Plant C,Evening,2023-11-14,656,20.86,Customer2,Completed,2023-11-21,728,15186.08
O100206,Gadget X,Plant C,Evening,2023-04-28,208,12.63,Customer4,Delayed,2023-05-03,233,2942.79
O100207,Gadget X,Plant A,Evening,2023-09-23,291,27.67,Customer2,In Progress,2023-09-27,318,8799.060000000001
O100208,Gadget X,Plant A,Evening,2023-10-14,894,5.25,Customer2,In Progress,2023-10-15,805,4226.25
O100209,Device P,Plant B,Night,2023-01-26,836,47.7,Customer5,Completed,2023-01-28,852,40640.4
O100210,Device P,Plant A,Morning,2023-07-02,773,43.53,Customer4,Delayed,2023-07-04,861,37479.33
O100211,Widget C,Plant A,Evening,2023-08-27,661,41.95,Customer3,Completed,2023-09-05,518,21730.100000000002
O100212,Widget B,Plant B,Evening,2023-04-19,711,21.08,Customer3,Completed,2023-04-21,735,15493.8
O100213,Device Q,Plant A,Evening,2023-03-31,337,10.17,Customer2,Delayed,2023-04-09,328,3335.7599999999998
O100214,Gadget X,Plant B,Night,2023-10-08,482,37.0,Customer5,Completed,2023-10-11,432,15984.0
O100215,Widget A,Plant C,Morning,2023-04-30,808,34.17,Customer2,Completed,2023-05-08,823,28121.91
O100216,Device Q,Plant B,Night,2023-06-29,509,42.05,Customer1,Delayed,2023-07-02,505,21235.25
O100217,Device P,Plant B,Morning,2023-01-18,147,27.93,Customer2,In Progress,2023-01-24,134,3742.62
O100218,Widget A,Plant B,Night,2023-06-01,535,11.81,Customer2,Completed,2023-06-10,545,6436.45
O100219,Widget A,Plant C,Evening,2023-04-18,994,41.8,Customer1,Delayed,2023-04-26,935,39083.0
O100220,Widget A,Plant C,Evening,2023-05-23,439,36.6,Customer1,In Progress,2023-05-30,460,16836.0
O100221,Widget C,Plant C,Morning,2023-09-21,177,48.11,Customer2,Delayed,2023-09-24,197,9477.67
O100222,Device P,Plant B,Night,2023-02-12,232,9.04,Customer5,In Progress,2023-02-17,235,2124.3999999999996
O100223,Widget A,Plant B,Morning,2023-08-05,495,31.4,Customer1,Completed,2023-08-08,562,17646.8
O100224,Gadget X,Plant B,Night,2023-01-24,624,33.64,Customer4,In Progress,2023-01-28,679,22841.56
O100225,Gadget Y,Plant B,Evening,2023-09-07,339,50.0,Customer1,Delayed,2023-09-13,336,16800.0
O100226,Widget A,Plant B,Morning,2023-04-12,446,42.46,Customer3,Delayed,2023-04-19,475,20168.5
O100227,Widget C,Plant B,Morning,2023-11-17,574,19.07,Customer1,Completed,2023-11-26,507,9668.49
O100228,Device Q,Plant B,Evening,2023-01-26,627,26.28,Customer1,In Progress,2023-01-27,663,17423.64
O100229,Device P,Plant A,Evening,2023-11-26,534,21.09,Customer4,Completed,2023-12-02,567,11958.03
O100230,Widget C,Plant C,Evening,2023-06-03,935,46.3,Customer5,In Progress,2023-06-05,1074,49726.2
O100231,Widget A,Plant A,Evening,2023-11-18,496,28.59,Customer2,Delayed,2023-11-20,537,15352.83
O100232,Device P,Plant C,Evening,2023-09-27,848,45.58,Customer4,Completed,2023-10-01,822,37466.76
O100233,Gadget Y,Plant B,Evening,2023-05-09,687,21.29,Customer4,Completed,2023-05-11,660,14051.4
O100234,Widget A,Plant A,Night,2023-04-04,758,13.09,Customer4,Delayed,2023-04-07,772,10105.48
O100235,Widget C,Plant B,Night,2023-02-06,692,29.37,Customer5,In Progress,2023-02-12,601,17651.37
O100236,Widget B,Plant A,Morning,2023-10-01,397,49.42,Customer2,Delayed,2023-10-02,428,21151.760000000002
O100237,Gadget X,Plant A,Night,2023-06-07,298,33.28,Customer1,Completed,2023-06-09,299,9950.720000000001
O100238,Device Q,Plant B,Morning,2023-06-04,337,7.48,Customer3,Delayed,2023-06-08,314,2348.7200000000003
O100239,Widget C,Plant A,Night,2023-07-07,280,6.52,Customer4,Completed,2023-07-13,295,1923.3999999999999
O100240,Device P,Plant A,Night,2023-04-23,100,24.33,Customer2,Completed,2023-04-26,94,2287.02
O100241,Widget A,Plant C,Evening,2023-01-30,753,6.68,Customer5,In Progress,2023-01-31,700,4676.0
O100242,Gadget X,Plant B,Night,2023-09-02,742,9.71,Customer5,Completed,2023-09-05,630,6117.3
O100243,Widget A,Plant B,Night,2023-04-10,451,38.9,Customer2,In Progress,2023-04-17,406,15793.4
O100244,Device P,Plant A,Night,2023-01-21,620,39.12,Customer4,Delayed,2023-01-22,671,26249.519999999997
O100245,Widget A,Plant B,Evening,2023-01-18,366,13.31,Customer3,In Progress,2023-01-25,388,5164.28
O100246,Widget B,Plant C,Evening,2023-06-11,506,43.3,Customer5,Completed,2023-06-17,482,20870.6
O100247,Gadget X,Plant C,Night,2023-06-08,769,12.9,Customer1,Completed,2023-06-13,817,10539.300000000001
O100248,Gadget X,Plant B,Morning,2023-01-10,218,39.39,Customer5,In Progress,2023-01-16,220,8665.8
